วันที่,รายการสินค้า,จำนวน,ราคาต่อหน่วย,ยอดขายรวม
7-6-2569,น้ำตาล 1 กก.,4,26,104
2026-06-23,ขนมซอง,3,50,150
06/06/2026,น้ำมันกุ๊ก,4,45,180
2026-06-19,น้ำมันพืชขวด,4,55,220
26 Jun 2026,น้ำมันพืชขวด,1,55,55
2026-06-02,น้ำอัดลม,1,25,25
28 Jul 2026,น้ำอัดลม,1,25,25
10/07/2026,น้ำมันปาล์ม,2,60,120
10-6-2569,sugar,4,28,112
2026-06-28,ขนมซอง,3,40,120
2026-07-08,น้ำตาลทรายขาว,3,26,78
03/06/2026,ขนมซอง,4,40,160
19/07/2026,น้ำตาลทราย,1,25,25
26/07/2026,sugar,4,26,104
2026-07-20,ขนม,2 ชิ้น,40,80
01/06/2026, snack,3,20,60
1-6-2569,ขนม,1,30,30
19-7-2569, snack,3,20,60
02/06/2026,น้ำตาล 1 กก.,1,26,26
28-7-2569,น้ำตาล 1 กก.,4,28,112
27 Jun 2026,น้ำมันพืช,1,45,45
12 Jul 2026, soft drink,2,25,50
3-7-2569,ขนมซอง,3,50,150
2026-06-10,น้ำตาลทรายขาว,4,25,100
2026-06-21,น้ำมันพืชขวด,1,60,60
17-6-2569,ขนมซอง,4,20,80
8-7-2569,น้ำตาล,1,26,26
2-6-2569,น้ำตาลทรายขาว,1,28,28
2026-06-25,น้ำตาล,2,26,52
2026-06-30,น้ำอัดลมกระป๋อง,1,20,20
24-7-2569,oil,1,45,45
2026-06-25,sugar,3,25,75
22 Jun 2026,ขนม,3,20,60
20/06/2026,ขนมซอง,1 ชิ้น,20,20
07 Jul 2026,น้ำแดง,2,35,70
05/06/2026,ขนม,2,40,80
20 Jul 2026, soft drink,3,15,45
2026-06-04,ขนมซอง,3,50,150
10-6-2569,น้ำอัดลมกระป๋อง,2,15,30 บาท
16/07/2026,น้ำมันพืช,4,45,180
30-6-2569,เลย์,4,50,200
2026-07-30,น้ำอัดลมกระป๋อง,1,25,25
2026-07-30,น้ำมันพืช,3,55,165
15 Jul 2026, soft drink,2,19,38
2026-07-10,เลย์,1,40,40
20/06/2026,ขนมขบเคี้ยว ,3,20,60
05/07/2026,น้ำมันกุ๊ก,2,60,120
2026-07-05, soft drink,2,20,40
29-7-2569,oil,2,45,90
25-7-2569,น้ำมันปาล์ม,3,45,135
2026-07-14,น้ำแดง,4,25,100
2026-06-08,น้ำอัดลม,2,25,50
1-7-2569,ขนมขบเคี้ยว ,1,20,20
21 Jun 2026,น้ำตาลทรายขาว,2,28,56
2026-06-22,  ,2,50,100
23 Jun 2026,น้ำมันกุ๊ก,2,50,100
17-6-2569,sugar,3,25,75
13 Jun 2026,น้ำมันปาล์ม,4,55,220
2026-07-21,โค้ก,2,15,30
07/07/2026,ขนมซอง,2,50,100
28/07/2026,น้ำอัดลม,4,25,100
22-7-2569,sugar,1,30,30
08 Jul 2026,น้ำตาลทรายขาว,4,28,112
2026-07-11,น้ำมันกุ๊ก,4 ชิ้น,60,240
04/07/2026,โค้ก,1,19,19
26-7-2569,น้ำมันปาล์ม,2,45,90
13 Jul 2026,น้ำแดง,1,35,35
12/06/2026,เลย์,2,20,40
16 Jun 2026,น้ำตาล,2,30,60
02/07/2026,sugar,2,28,56
27 Jun 2026, soft drink,4,19,76
2026-07-22, snack,4,30,120
2-6-2569,น้ำตาลทรายขาว,1,26,26
2026-06-20, snack,3,40,120
12/07/2026,น้ำตาลทราย,3,30,90
05/06/2026,ขนมซอง,1,50,50
2026-07-25,ขนมขบเคี้ยว ,3,20,60
2026-07-10,ขนม,2,20,40
12-7-2569, soft drink,2,35,70
2026-07-09,น้ำอัดลม,2,25,50
2026-07-27,น้ำมันกุ๊ก,1,50,50
24-7-2569,ขนม,4,30,120
16/07/2026,น้ำตาล 1 กก.,1,28,28
2-6-2569,น้ำตาลทราย,4,28,112
2026-07-13,แป๊ปซี่,1,35,35
2026-07-02,โค้ก,2,15,30
24-7-2569,น้ำอัดลมกระป๋อง,2,35,70
04/06/2026,น้ำอัดลม,3,20,60
09 Jul 2026,oil,3,55,165
2026-06-23,น้ำตาล,2,28,56
05 Jul 2026,โค้ก,2,19,38
2026-06-25,น้ำอัดลมกระป๋อง,4,19,76
2026-07-05,เลย์,3,50,150
18/06/2026,  ,3,30,90
2026-06-14,โค้ก,3,15,45
2026-07-22,น้ำตาล 1 กก.,3,30,90
02 Jul 2026,น้ำมันกุ๊ก,1,55,55
12 Jul 2026,แป๊ปซี่,2,19,38
20/06/2026,ขนมขบเคี้ยว,3,20,60
2026-06-03,น้ำมันกุ๊ก,1,60,60
2026-06-12,ขนม,4,40,160
25-6-2569,น้ำตาล 1 กก.,2,26,52
20/06/2026, snack,1,50,50
30/06/2026,แป๊ปซี่,2,35,70
23 Jun 2026,น้ำมันกุ๊ก,1,60,60
05/06/2026,น้ำมันกุ๊ก,3,50,150
30 Jun 2026,โค้ก,2,20,40
02 Jun 2026,แป๊ปซี่,3,19,57
2026-06-02,น้ำอัดลม,1,20,20
28 Jun 2026,ขนมซอง,2,20,40
07/06/2026,sugar,3,30,90
29 Jun 2026,ขนมขบเคี้ยว,4,30,120
01 Jul 2026,น้ำตาลทราย,4,26,104
23 Jul 2026,sugar,1,25,25
30-6-2569,แป๊ปซี่,2,20,40
21 Jul 2026, snack,3,20,60
06 Jul 2026,ขนม,2,50,100
10/06/2026,น้ำตาล 1 กก.,4,30,120
20/06/2026,โค้ก,4,15,60
26-7-2569,ขนม,1,40,40
10-6-2569,โค้ก,4,19,76
02/06/2026,เลย์,1,50,50
01 Jul 2026,ขนมขบเคี้ยว,4,20,80
2026-07-28,น้ำตาลทราย,2,26,52
29 Jun 2026,แป๊ปซี่,3,35,105
01 Jun 2026,น้ำอัดลมกระป๋อง,1,20,20
12 Jun 2026,น้ำตาล,4,30,120
2026-06-04,น้ำตาลทรายขาว,3,26,78
25 Jun 2026,ขนมซอง,2,20,40
2026-07-15,น้ำมันพืชขวด,3,45,135
06 Jul 2026,น้ำตาลทราย,1,25,25
05 Jul 2026,ขนมขบเคี้ยว ,2,50,100
02 Jun 2026,ขนมซอง,1,50,50
4-6-2569,แป๊ปซี่,3,19,57
26-7-2569,sugar,1,30,30
26/07/2026,น้ำมันกุ๊ก,3,60,180
1-6-2569,ขนมขบเคี้ยว,4,30,120
2026-07-19,น้ำมันกุ๊ก,4,50,200
2026-07-16,น้ำมันกุ๊ก,4,60,240
06 Jun 2026,เลย์,3,40,120
22/06/2026,น้ำแดง,1,25,25
2026-07-06, snack,4,30,120
2026-07-28,โค้ก,1,35,35
2026-06-12,น้ำมันพืช,3,50,150
2026-07-10,sugar,3,30,90
26 Jul 2026,น้ำมันกุ๊ก,4,50,200
03 Jun 2026,oil,2,50,100
27 Jul 2026,  ,1,30,30
25-6-2569,เลย์,4,40,160
27/06/2026,น้ำตาล,3,25,75
2026-06-02, snack,2,30,60
2026-06-01,ขนม,3,30,90
20 Jun 2026,น้ำแดง,3,35,105
2026-06-05,เลย์,3 ชิ้น,50,150
12 Jun 2026,ขนมซอง,2,30,60
25-6-2569,น้ำอัดลม,1,35,35
04/06/2026,น้ำตาล 1 กก.,4,30,120
18/06/2026,ขนม,3,50,150
2026-06-26,น้ำอัดลม,4,19,76
28 Jul 2026,ขนม,1,30,30
20/06/2026,น้ำตาลทราย,2,25,50
17 Jul 2026,น้ำมันปาล์ม,3,55,165
02 Jul 2026,น้ำมันกุ๊ก,4,50,200
22-6-2569,น้ำอัดลมกระป๋อง,1 ชิ้น,35,35
18 Jul 2026,น้ำมันพืชขวด,1,60,60
07 Jun 2026,น้ำมันปาล์ม,3,50,150 บาท
04/07/2026,ขนม,4,50,200
2026-06-19,น้ำตาล 1 กก.,1,30,30
30 Jun 2026,น้ำมันพืชขวด,4,60,
19 Jul 2026,น้ำมันพืช,2,50,100
22 Jun 2026, snack,2,40,80
17 Jun 2026,น้ำมันพืชขวด,1,55,55
01 Jul 2026, snack,2,40,80
2026-07-21,ขนมขบเคี้ยว,3,30,90 บาท
15-7-2569,ขนม,2,40,80
16/07/2026,ขนม,3,40,120
2026-06-11,น้ำตาลทรายขาว,2,25,50
06/07/2026,น้ำมันปาล์ม,1,60,60
08/06/2026, snack,2,50,100
09 Jul 2026,น้ำอัดลมกระป๋อง,4 ชิ้น,35,140
28 Jul 2026,เลย์,4,20,80
13-6-2569,น้ำมันกุ๊ก,4,60,240
28/07/2026,เลย์,4,40,160
08/07/2026,sugar,1,28,28
15 Jul 2026,น้ำมันปาล์ม,4,60,
2026-07-23,น้ำมันกุ๊ก,4,60,240
29 Jul 2026,น้ำตาล 1 กก.,3,28,84
2-7-2569,ขนมซอง,3,50,150
07 Jul 2026,น้ำมันพืชขวด,4,45,180
29 Jul 2026,ขนม,1,30,30
5-7-2569,ขนม,4,20,80
2026-06-03,ขนม,4,30,120
15/06/2026,โค้ก,4,35,140
27-6-2569,น้ำตาลทรายขาว,2,25,50
06 Jul 2026,ขนมขบเคี้ยว ,3,50,150
06/06/2026,น้ำตาล,1,26,26
12/06/2026,ขนม,3,20,60
2026-07-04,oil,2,45,90
24-7-2569,น้ำตาลทราย,3,26,78
28 Jun 2026, soft drink,3,20,60
16/07/2026,น้ำมันพืช,2,60,120
02/07/2026,ขนม,1,20,20
17/06/2026,น้ำอัดลม,2,25,50
29-6-2569,น้ำตาลทรายขาว,2,30,60
20-7-2569,เลย์,3,20,60
2026-06-04,ขนม,3,20,60
10/07/2026,sugar,1,25,
2026-06-22,น้ำตาล 1 กก.,1,28,28
3-7-2569,oil,4,55,220
16 Jun 2026,แป๊ปซี่,3,25,75
21 Jul 2026,โค้ก,4,15,60
16/06/2026,เลย์,3,30,90
09 Jul 2026,น้ำแดง,1,15,15
06/07/2026,ขนมซอง,2,50,100
13 Jun 2026,น้ำอัดลมกระป๋อง,3,35,105
2026-07-18,ขนม,4,20,80
10 Jun 2026, snack,3,20,60
16 Jun 2026,โค้ก,1,20,20
26-6-2569,น้ำตาล,1,30,30
5-7-2569,sugar,1,28,28
10 Jun 2026, soft drink,1,20,20
21-7-2569,น้ำตาล,4,25,100
1-7-2569,น้ำตาลทรายขาว,4,28,112
15 Jul 2026,ขนมซอง,2,40,80
2026-06-13,ขนมขบเคี้ยว ,2,40,80
2026-06-21,เลย์,2,40,80
23/06/2026,น้ำอัดลมกระป๋อง,1,15,15
2026-07-05,น้ำมันพืชขวด,2,55,110
27/06/2026,น้ำมันพืช,4,50,200
9-7-2569,oil,2,60,120
8-7-2569,เลย์,1,30,30
15 Jul 2026,น้ำมันปาล์ม,2,60,120
21-7-2569,sugar,1,28,28
21-7-2569,ขนม,2,50,
2026-07-14,เลย์,1 ชิ้น,40,40
2026-06-13,น้ำมันกุ๊ก,3,55,165
8-7-2569,oil,2,55,110
25/06/2026,น้ำมันปาล์ม,3,55,165
2026-07-24, soft drink,2,35,70
24-6-2569,ขนม,1,50,50
14 Jun 2026, snack,3,30,90
2026-07-24,น้ำมันปาล์ม,2,55,110
20-7-2569, soft drink,2,35,70
15-7-2569,เลย์,2,20,40
19-7-2569,น้ำมันปาล์ม,4,55,220
07/07/2026,ขนม,1,50,50
2026-07-15,oil,1,50,50
2026-07-14,น้ำตาล 1 กก.,1,30,30
2026-07-02,น้ำตาลทราย,3,28,84
17/07/2026,น้ำมันปาล์ม,4,50,200
2026-07-13,น้ำมันกุ๊ก,1,45,45
08/07/2026,น้ำมันกุ๊ก,2,55,110
12 Jun 2026, snack,3,20,60
20 Jun 2026,น้ำมันกุ๊ก,1,45,45
09/07/2026,เลย์,1,30,30
13 Jul 2026,น้ำมันพืช,1,50,50
12-7-2569,น้ำมันปาล์ม,4,55,220
2026-07-04,น้ำตาลทรายขาว,2,28,56
17/06/2026,น้ำมันปาล์ม,4,50,200
2026-07-28,น้ำมันพืช,4,50,200
25 Jun 2026,oil,3,50,150
03 Jul 2026,ขนมขบเคี้ยว ,3,30,90
29/07/2026,oil,1,55,55
19-6-2569,แป๊ปซี่,4,15,60
04 Jul 2026,ขนมซอง,4,50,200
15 Jun 2026,น้ำตาลทรายขาว,4,30,120
22 Jun 2026,เลย์,4,30,120
2026-07-19,ขนมขบเคี้ยว ,1,30,30
28/06/2026,น้ำตาล 1 กก.,4,30,120
25 Jun 2026,น้ำตาล,3,30,90
12 Jun 2026,เลย์,1,30,30
13/06/2026,น้ำตาล 1 กก.,1,30,30
17-7-2569,ขนมขบเคี้ยว,4,20,80
25 Jun 2026,ขนมขบเคี้ยว ,3,40,120
2026-07-21,น้ำแดง,3,25,75
2026-07-23, soft drink,2,25,50
07/07/2026,น้ำตาล,1,26,26
14/06/2026,น้ำอัดลม,3,25,75
29 Jul 2026,น้ำตาลทราย,3,28,84
01/07/2026,sugar,4,28,112
26/07/2026,น้ำตาล,4,25,100
23-7-2569,ขนมขบเคี้ยว ,4,30,120
12/06/2026,น้ำตาลทรายขาว,1,26,26
18-7-2569,ขนมขบเคี้ยว ,2,40,80
24-7-2569,น้ำมันพืช,4,60,240
2026-06-14,น้ำตาล 1 กก.,4 ชิ้น,30,120
16/07/2026,ขนม,2,40,80
2026-06-04,เลย์,4,20,80
19 Jun 2026,น้ำมันปาล์ม,3,60,180
7-6-2569,sugar,1,28,28
30 Jun 2026,น้ำแดง,3,25,75
10 Jun 2026,sugar,2,30,60
26/06/2026,ขนมขบเคี้ยว,2,40,80
21 Jun 2026,แป๊ปซี่,4,19,76
28-7-2569,น้ำมันกุ๊ก,2,50,100
18 Jun 2026, soft drink,3,15,45
01 Jun 2026,โค้ก,2,20,40
03 Jun 2026,น้ำตาล,4,26,104
2026-06-03,เลย์,3,20,60
20 Jun 2026, soft drink,4,15,60
16 Jun 2026,น้ำมันปาล์ม,2,60,120
28 Jul 2026,oil,1,55,55
14-7-2569,น้ำแดง,2,35,70
25-6-2569,น้ำอัดลมกระป๋อง,3,19,57
24-7-2569,น้ำตาลทรายขาว,4,25,100
10-6-2569, soft drink,1,19,19
05 Jun 2026, soft drink,2,20,40
26/06/2026, snack,2,40,80
22-7-2569,น้ำมันพืช,1,60,60
07 Jul 2026, soft drink,3,25,75
26/07/2026,น้ำอัดลมกระป๋อง,2,20,40
20/06/2026,น้ำตาล,1,28,28
29/07/2026,oil,3,55,165
2026-06-04,โค้ก,1,35,35
2026-07-26,น้ำมันพืช,2,55,110
20 Jul 2026,ขนม,1,30,30
23-6-2569,ขนมขบเคี้ยว,1,50,50
12-7-2569,น้ำตาล 1 กก.,1,30,30
30-6-2569, soft drink,3,35,105
08/07/2026, snack,2,50,100
13-7-2569, soft drink,2,25,50
2026-06-27, soft drink,3,20,60
2026-07-23,เลย์,1,40,40
01 Jun 2026,sugar,1,25,25
28 Jun 2026,น้ำมันพืช,1,55,55
27-7-2569,น้ำมันกุ๊ก,3,55,165
2026-06-11,น้ำตาลทรายขาว,2,28,56
25 Jun 2026,น้ำแดง,1,35,35 บาท
25/07/2026,oil,3,45,135
24 Jun 2026, soft drink,2,15,30
27/07/2026,โค้ก,4,35,140 บาท
20 Jun 2026,น้ำมันพืช,4,50,200
11 Jun 2026, soft drink,2,25,50
2026-07-01, soft drink,3,25,75
2026-06-24,น้ำมันพืชขวด,3,55,165
6-6-2569,sugar,1,25,25
14 Jul 2026,แป๊ปซี่,2,35,70
4-6-2569,น้ำแดง,2,15,30
03/06/2026, snack,2,30,60
15 Jul 2026,น้ำตาลทรายขาว,3,30,90
2026-06-29,น้ำตาลทราย,2,25,50
05 Jul 2026,น้ำตาล,3,25,75
22/06/2026,น้ำมันพืชขวด,3,60,180
2026-06-14,น้ำตาล,3,26,78
2026-06-03,โค้ก,1,19,19
20-7-2569,ขนมขบเคี้ยว,4,30,120
25/06/2026,น้ำอัดลมกระป๋อง,2,25,50
28-6-2569,ขนม,4,20,80
10-7-2569,น้ำตาลทรายขาว,2 ชิ้น,25,50
1-7-2569,น้ำมันกุ๊ก,2,50,100
15/07/2026,น้ำมันพืช,4,55,220
2026-06-18,oil,3,55,165
2026-07-12,น้ำตาลทรายขาว,2,30,60
25 Jul 2026,น้ำมันพืช,2,50,100
2026-06-15,น้ำมันกุ๊ก,3,55,165
06 Jun 2026,น้ำตาลทรายขาว,1,25,25
15 Jun 2026,น้ำมันพืชขวด,2,45,90
14-6-2569,oil,4,45,180
29-7-2569,น้ำตาล,4,25,100 บาท
1-6-2569,น้ำมันปาล์ม,4,55,220
05/07/2026,เลย์,1,50,50
06/07/2026,น้ำมันพืช,3,50,150
7-6-2569,น้ำอัดลม,2,35,70
2026-07-02,oil,4,55,220
2-6-2569,โค้ก,4,25,100
18-6-2569,น้ำตาล 1 กก.,4 ชิ้น,25,100
2026-06-04,เลย์,4,30,120
10-7-2569,ขนมขบเคี้ยว ,1,50,50
2026-06-21,น้ำมันพืชขวด,4,60,240
21/07/2026,น้ำมันกุ๊ก,1,60,60
2026-06-24,น้ำมันพืชขวด,1,60,60
14 Jul 2026,น้ำมันพืช,3,55,165
30/06/2026, soft drink,2,19,38
05/06/2026,ขนมขบเคี้ยว,1,20,20
2026-07-26,น้ำตาล 1 กก.,2,26,52
06 Jul 2026,น้ำมันพืชขวด,1,55,55 บาท
2026-06-26, snack,3,20,60
2026-06-23, soft drink,3,25,75
24-6-2569,น้ำตาล,2,25,50
02/07/2026,แป๊ปซี่,1,20,20
2026-07-28,น้ำตาล 1 กก.,4,25,100
27-6-2569,เลย์,1,50,50
29-7-2569, snack,2,20,40
20 Jul 2026,น้ำตาลทราย,3,26,78
2026-07-20,น้ำตาล,4,30,120
30/07/2026,น้ำมันพืช,3,60,180
02/07/2026, soft drink,4,35,140
07 Jul 2026,โค้ก,4,19,76
29/06/2026,น้ำตาล 1 กก.,2,28,56
22-7-2569,น้ำแดง,2,19,38
2026-07-18,น้ำตาล,1 ชิ้น,30,30
23-6-2569, snack,4,40,160
18/06/2026,ขนมขบเคี้ยว ,3,40,120
4-6-2569,น้ำตาลทรายขาว,2,30,60
24 Jun 2026, soft drink,4,15,60
13 Jul 2026,น้ำตาลทรายขาว,4,26,104
2026-06-21,โค้ก,3,35,105
21-7-2569,น้ำมันพืช,3,50,150
3-7-2569,น้ำตาล 1 กก.,3,26,78
28-6-2569,ขนม,4,40,160
11/06/2026,น้ำตาล 1 กก.,4,26,104
05 Jun 2026,โค้ก,2,35,70
2026-07-11,เลย์,4,40,160
01 Jun 2026,น้ำแดง,1,35,35
26/07/2026,น้ำมันปาล์ม,4,45,180
08 Jul 2026,sugar,4,28,112
5-6-2569,น้ำแดง,4,20,80
15-7-2569,น้ำตาล 1 กก.,2,25,50
09 Jun 2026,ขนมขบเคี้ยว ,2,30,60
23 Jun 2026,แป๊ปซี่,1,20,20
2026-06-03,แป๊ปซี่,1,15,15
16/07/2026,เลย์,1,50,50
28-6-2569,ขนมขบเคี้ยว ,3,50,150
25/07/2026,ขนม,1,20,20 บาท
2026-07-16,แป๊ปซี่,1,35,35
20 Jul 2026,น้ำตาล 1 กก.,2,26,52
2026-07-09,oil,1,50,50
10/06/2026,น้ำตาลทราย,2,25,50
2026-07-06,ขนม,4,20,80
07/07/2026,ขนม,1,50,50
26 Jun 2026,oil,4,50,200
01/06/2026,น้ำมันพืชขวด,3,50,150
04/07/2026,น้ำตาล,2,25,50
11-7-2569,น้ำตาล 1 กก.,3,30,90
2026-06-30,น้ำอัดลม,4,25,100
19/06/2026,น้ำอัดลมกระป๋อง,3,35,105
29/07/2026,น้ำตาลทราย,2,26,52
22 Jul 2026,น้ำมันปาล์ม,3,55,165
29 Jul 2026,น้ำตาล,3,26,78
24/07/2026,ขนมซอง,2,20,40
26-6-2569,  ,1,25,25
21-6-2569,เลย์,1,50,50
21-7-2569,น้ำมันพืชขวด,3,55,165
2026-07-25,ขนมซอง,1,40,40
06 Jun 2026,oil,2,50,100
2026-07-21,ขนม,2,30,60
27 Jun 2026,ขนม,3,40,120
02 Jun 2026,น้ำอัดลม,3 ชิ้น,15,45
04 Jul 2026,น้ำมันพืช,3,60,180
20 Jul 2026,ขนม,3,50,150
18-6-2569,ขนมขบเคี้ยว ,3,20,60
30-6-2569,ขนม,2,20,40
21-6-2569,น้ำมันกุ๊ก,3,45,135
11-7-2569,น้ำตาล,1,25,25
14 Jul 2026,น้ำมันกุ๊ก,2,60,120
2026-07-23,ขนมขบเคี้ยว ,1,20,20
06 Jul 2026,น้ำตาล 1 กก.,4,30,120
03/07/2026,น้ำแดง,4,20,80
2026-06-14,น้ำมันปาล์ม,4,45,180
11 Jun 2026, soft drink,4,20,80
9-7-2569,น้ำตาล,3,26,78
10-6-2569,น้ำมันพืชขวด,1,50,50
2026-07-20,เลย์,1,20,20
5-7-2569,น้ำตาล 1 กก.,3,25,75
24-6-2569,โค้ก,3,25,75
20/07/2026,น้ำตาลทรายขาว,3,26,78
13 Jun 2026, soft drink,2,35,70
02/06/2026,น้ำตาลทราย,3,26,78
2026-06-08,น้ำตาลทราย,1,26,26
11-6-2569,oil,4,55,220
29/06/2026, snack,2,30,60 บาท
16/07/2026,น้ำตาล,4,30,120
11-6-2569,oil,3,50,150
